Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,To Grade
2012-12-27,29.726183325504074,29.85635266141061,29.431593141556586,29.787841796875,9366900,0.0,0.0,3.0
2012-12-28,29.623407836277963,29.7261701674611,29.349369726280724,29.39047622680664,9328400,0.0,0.0,3.0
2012-12-31,29.136991213230864,29.643960952758793,29.109589491883813,29.64396095275879,14650300,0.0,0.0,3.0
2013-01-02,30.479765523631563,30.49346507339397,30.034454367161526,30.329044342041016,16483900,0.0,0.0,3.0
2013-01-03,30.390727123148828,30.431831032215328,30.000224306482078,30.185199737548828,11227700,0.0,0.0,3.0
2013-01-04,30.17148071514681,30.390710152488573,29.972803220861763,30.3496036529541,14930400,0.0,0.0,3.0
2013-01-07,30.31535848893938,30.74011532245003,30.150935055703947,30.616798400878906,20891300,0.0,0.0,3.0
2013-01-08,30.516298964742898,30.675706981713773,29.830151528385183,29.871734619140625,21394400,0.515,0.0,5.0
2013-01-09,29.691532744660222,29.93410956814139,29.63608510278505,29.802425384521484,13346700,0.0,0.0,5.0
2013-01-10,29.954903129323263,30.21134185791016,29.781633217920678,30.211341857910156,11214800,0.0,0.0,5.0
2013-01-11,30.308371817911045,30.31530409476949,29.830147826347876,30.010347366333008,11624000,0.0,0.0,5.0
2013-01-14,29.74697201004957,29.864796904383507,29.448950246014668,29.51825714111328,15075300,0.0,0.0,5.0
2013-01-15,29.428160007935464,29.497469556215286,29.08162019820314,29.088552474975586,15099600,0.0,0.0,5.0
2013-01-16,29.046970181785863,29.144000916965823,28.762807609949164,28.769737243652344,17451400,0.0,0.0,5.0
2013-01-17,28.87369933649098,29.365785274305036,28.769736327030923,29.199447631835938,14209800,0.0,0.0,5.0
2013-01-18,29.247964848894625,29.483612060546875,29.157863744586297,29.483612060546875,14149500,0.0,0.0,5.0
2013-01-22,29.802423283406164,30.093515451061137,29.44895384498386,29.76083755493164,30231800,0.0,0.0,3.0
2013-01-23,29.83013974840015,29.85093128556725,29.448946584969928,29.656869888305664,16208000,0.0,0.0,4.0
2013-01-24,29.691527022748396,29.857867272429075,29.504395233315844,29.51825714111328,11716000,0.0,0.0,4.0
2013-01-25,29.60142567386237,29.670735212217032,29.3449869916715,29.573701858520508,13779300,0.0,0.0,4.0
